Unnamed: 0,ESPtime,count,time,year,month,day,hour,minute,time_only
,107327.0,0,2026-04-22 06:53:38.098320937,2026,4,22,06:00,53,06:53
,,1,2026-04-22 07:20:10.142732881,2026,4,22,07:00,20,07:20
,,0,2026-04-22 07:21:08.887216583,2026,4,22,07:00,21,07:21
,,1,2026-04-22 07:21:12.164670566,2026,4,22,07:00,21,07:21
,,0,2026-04-22 07:21:16.508609037,2026,4,22,07:00,21,07:21
,,1,2026-04-22 07:21:21.497536599,2026,4,22,07:00,21,07:21
,,2,2026-04-22 07:21:30.923373049,2026,4,22,07:00,21,07:21
,,1,2026-04-22 07:26:47.765127474,2026,4,22,07:00,26,07:26
,,0,2026-04-22 07:26:52.490298232,2026,4,22,07:00,26,07:26
,,1,2026-04-22 07:41:58.029850744,2026,4,22,07:00,41,07:41
,,0,2026-04-22 07:42:05.090868815,2026,4,22,07:00,42,07:42
,,0,2026-04-22 07:42:11.787686436,2026,4,22,07:00,42,07:42
,,1,2026-04-22 07:42:16.802393509,2026,4,22,07:00,42,07:42
,,0,2026-04-22 07:42:27.544365358,2026,4,22,07:00,42,07:42
,,0,2026-04-22 07:42:48.496782154,2026,4,22,07:00,42,07:42
,,1,2026-04-22 07:43:12.727382687,2026,4,22,07:00,43,07:43
,,0,2026-04-22 07:43:31.307426460,2026,4,22,07:00,43,07:43
,,1,2026-04-22 07:43:38.861099736,2026,4,22,07:00,43,07:43
,,2,2026-04-22 07:43:47.314728081,2026,4,22,07:00,43,07:43
,,1,2026-04-22 07:43:57.162352999,2026,4,22,07:00,43,07:43
,,2,2026-04-22 07:44:04.985229469,2026,4,22,07:00,44,07:44
,,1,2026-04-22 07:44:10.722974637,2026,4,22,07:00,44,07:44
,,0,2026-04-22 07:44:14.346605300,2026,4,22,07:00,44,07:44
,,1,2026-04-22 07:44:21.677218929,2026,4,22,07:00,44,07:44
,,0,2026-04-22 07:44:34.140320098,2026,4,22,07:00,44,07:44
,,1,2026-04-22 07:47:14.588669633,2026,4,22,07:00,47,07:47
,,0,2026-04-22 07:47:32.095429954,2026,4,22,07:00,47,07:47
,,1,2026-04-22 07:47:39.207635332,2026,4,22,07:00,47,07:47
,,2,2026-04-22 07:47:43.695243115,2026,4,22,07:00,47,07:47
,,3,2026-04-22 07:47:47.027559371,2026,4,22,07:00,47,07:47
,,4,2026-04-22 07:47:50.056471857,2026,4,22,07:00,47,07:47
,,5,2026-04-22 07:47:53.541772248,2026,4,22,07:00,47,07:47
,,4,2026-04-22 07:48:02.860721334,2026,4,22,07:00,48,07:48
,,3,2026-04-22 07:48:33.588636900,2026,4,22,07:00,48,07:48
,,2,2026-04-22 07:48:36.913919503,2026,4,22,07:00,48,07:48
,,1,2026-04-22 07:48:46.334326105,2026,4,22,07:00,48,07:48
,,2,2026-04-22 07:48:50.089298473,2026,4,22,07:00,48,07:48
,,1,2026-04-22 07:48:58.930540079,2026,4,22,07:00,48,07:48
,,0,2026-04-22 07:49:03.332752446,2026,4,22,07:00,49,07:49
,,0,2026-04-22 07:49:09.807160209,2026,4,22,07:00,49,07:49
,,0,2026-04-22 07:49:14.738455547,2026,4,22,07:00,49,07:49
,,0,2026-04-22 07:49:27.001778658,2026,4,22,07:00,49,07:49
,,0,2026-04-22 07:49:29.074405404,2026,4,22,07:00,49,07:49
,,0,2026-04-22 07:51:01.879076823,2026,4,22,07:00,51,07:51
,,1,2026-04-22 07:51:06.114053053,2026,4,22,07:00,51,07:51
,,0,2026-04-22 07:52:17.575142683,2026,4,22,07:00,52,07:52
,,1,2026-04-22 07:52:23.692872227,2026,4,22,07:00,52,07:52
,,0,2026-04-22 07:52:33.463871004,2026,4,22,07:00,52,07:52
,,1,2026-04-22 07:53:27.252948666,2026,4,22,07:00,53,07:53
,,2,2026-04-22 07:53:30.869269111,2026,4,22,07:00,53,07:53
,,3,2026-04-22 07:53:36.943850838,2026,4,22,07:00,53,07:53
,,4,2026-04-22 07:55:06.813644755,2026,4,22,07:00,55,07:55
,,3,2026-04-22 07:59:03.789141994,2026,4,22,07:00,59,07:59
,,2,2026-04-22 07:59:06.667920611,2026,4,22,07:00,59,07:59
,,3,2026-04-22 07:59:40.309836955,2026,4,22,07:00,59,07:59
,,4,2026-04-22 07:59:43.190480683,2026,4,22,07:00,59,07:59
,,3,2026-04-22 08:00:19.078790866,2026,4,22,08:00,0,08:00
,,4,2026-04-22 08:03:46.029264673,2026,4,22,08:00,3,08:03
,,3,2026-04-22 08:15:51.893736844,2026,4,22,08:00,15,08:15
,,2,2026-04-22 08:22:33.667779124,2026,4,22,08:00,22,08:22
,,1,2026-04-22 08:23:43.803201437,2026,4,22,08:00,23,08:23
